<總標題> 四種不可輕視之法則 </總標題>
<摘要> 闡明四種看似微小卻具備強大潛在影響力的事物，不應因其外在狀態而輕視，並說明其潛在的危險性與應對態度。 </摘要>
<內容>
30.1. 不可輕視之總綱
   - 有四種事物，不應因其年少、幼小或初始的階段而加以輕視。
30.2. 不可輕視之細則
30.2.1 年少之剎帝利
   - 雖生年青少，但具備尊貴種姓與聲譽。
   - 若輕視之，待其登上王位掌握權力時，可能因忿怒而施加嚴厲刑罰。
30.2.2 幼少之蛇
   - 無論所見之蛇體型大小或外貌如何，皆不應輕視。
   - 蛇具有毒性，愚昧之人若靠近，將立即被咬傷。
30.2.3 細小之火
   - 燃燒中的火，即使看似細小並伴隨黑煙，亦不應輕視。
   - 火具有貪婪吞噬燃料的特性，一旦獲得足夠柴薪，便能燃起巨大火焰。
   - 愚昧之人若靠近，將立即被火燃燒。
30.2.4 持戒之比丘
   - 持守戒律的比丘，其戒行之力量如同火焰。
   - 若輕視持戒比丘，其影響如同火燒森林後，草木難以再生，或如同切斷植物新芽，使其無法延續。
30.3. 應對之正確態度
   - 賢智之人，基於對自身利益的清楚認知，應善加辨識並以正確的態度與行為，對待此四種不可輕視者：具潛力的年輕剎帝利、所有蛇類、任何狀態的火以及持戒清淨的比丘。

</內容>
