<總標題> 心解脫退轉與般涅槃之要義 </總標題>
<摘要> 修行者精進修行得心解脫卻多次退轉，最終以般涅槃超越生死輪迴，使魔無法尋得其識。 </摘要>
<內容>
59.1. 修行精進與心解脫退轉
59.1.1 修行過程
- 不放逸、虔誠、精進而住，得一時之心解脫。
- 心解脫後發生退轉，此過程重複六次。
59.1.2 第七次修行與決斷
- 第七次不放逸、虔誠、精進而住，得一時之心解脫。
- 修行者因多次退轉而生起執劍之念。
59.2. 魔之干擾與世尊之教示
59.2.1 魔之企圖
- 魔知修行者心念，欲阻其解脫。
- 魔以偈詢問世尊，為何有學弟子想死。
59.2.2 世尊之回應
- 世尊指出修行者已拔除渴愛根，達至涅槃。
- 修行者不欲再生，已超越生死怖畏。
59.3. 般涅槃之狀態與魔之無能
59.3.1 識之無住
- 修行者執劍後，識已般涅槃而無住處。
- 魔四處尋求修行者之識，終不可得。
59.3.2 世尊之宣告
- 修行者志堅常樂禪思，日夜從道，無願於此生。
- 已打破死魔軍，不行再生，拔除渴愛根而涅槃。
59.3.3 魔之敗退
- 魔聞教後悲愴敗退，箜篌墜落，沒於此處。

</內容>
