<總標題> 口業因果法則與地獄壽量示現 </總標題>
<摘要> 闡述惡意毀謗修行者的嚴重果報，並說明地獄壽量的計算方式。</摘要>
<內容>
80.1. 毀謗修行者的因果法則
80.1.1 毀謗行為的本質判定
       - 指稱修行者具有惡欲或受惡欲支配
80.1.2 正確的修行態度
       - 不應生起毀謗之心
       - 應當保持信心與敬重
       - 認知修行者的穩和特質
80.2. 毀謗的具體果報
80.2.1 現世報應
       - 身體出現由小漸大發展的瘡疾
       - 最終破裂流膿致死
80.2.2 來世報應
       - 因懷有敵意而墮入紅蓮地獄
80.3. 地獄壽量計算體系
80.3.1 基本時間單位
       - 以拘薩羅國二十加厘菜種子各過百年取一粒為喻
       - 取盡所有種子仍不盡基礎地獄壽量
80.3.2 地獄層級遞進關係
       - 各地獄層級以20倍壽量遞增：阿浮陀→尼羅浮陀→阿婆婆→阿吒吒→阿訶訶→水蓮→青睡蓮→青蓮→白蓮→紅蓮地獄
80.4. 法則應用實例
   - 毀謗穩和修行者將導致墮入紅蓮地獄
   - 承受極其漫長的地獄壽量

</內容>
