<總標題> 業果法則與無畏乞求的教示 </總標題>
<摘要> 持戒聖者向非正法者乞求無畏不得，揭示善惡業行必得相應果報的法則。 </摘要>
<內容>
138.1. 持戒聖者的處境與行動
138.1.1 聖者的居住與困境
- 持戒並具優美性質的聖者，居住於海岸邊以木葉葺成的小屋。
- 天眾與阿修羅眾發生激烈的戰爭。
- 聖者們思惟：天眾是依循正法的，而阿修羅眾則非依循正法。
- 他們對阿修羅眾產生了恐懼。
- 為了解除恐懼，他們決定向阿修羅王參婆羅乞求施予無畏。
138.1.2 聖者的乞求與回應
- 聖者們以神通力瞬間到達阿修羅王面前。
- 他們向阿修羅王乞求施予無畏。
- 阿修羅王拒絕施予無畏，並表示只會給予怖畏。
- 阿修羅王拒絕的理由是聖者們事奉其敵對者天帝釋。
138.2. 善惡業果的根本法則
138.2.1 業果回報的必然性
- 行為所導致的結果，必然會回報到行為者自身。
- 施予怖畏者自身將承受無盡的恐懼。
138.2.2 業果法則的普遍原理
- 如同播下植物的種子，未來就會收穫該植物的果實。
- 造作善的行為，必定會產生善的果報。
- 造作惡的行為，必定會產生惡的果報。
- 行為者播下了什麼性質的種子（業行），就必須承受相應性質的果報。
138.3. 事件的後續與驗證

- 持戒的聖者們對阿修羅王進行了詛咒。
- 隨後，聖者們以神通力瞬間返回海岸的小屋。
- 阿修羅王在被詛咒後，當夜即遭受襲擊而驚醒三次，驗證了業果法則的迅速顯現。

</內容>
