<總標題> 四食與緣起法則 </總標題>
<摘要> 說明四種維持生命存在的食，以及從無明到苦蘊生起的緣起過程與滅除之道。</摘要>
<內容>
146.1. 四食的定義與作用
146.1.1 四食的種類
        - 摶食：或粗或細的食物。
        - 觸食：接觸。
        - 意思食：意圖或思維。
        - 識食：意識。
146.1.2 四食的功能
        - 這四種食能使有情或眾生得以存續、維持生命。
146.2. 四食的生起根源
    - 四食是以愛為根本原因、根源、生起與發端。
146.3. 緣起流轉的過程
146.3.1 愛的根源
        - 愛是以受為根本原因、根源、生起與發端。
146.3.2 受的根源
        - 受是以觸為根本原因、根源、生起與發端。
146.3.3 觸的根源
        - 觸是以六處為根本原因、根源、生起與發端。
146.3.4 六處的根源
        - 六處是以名色為根本原因、根源、生起與發端。
146.3.5 名色的根源
        - 名色是以識為根本原因、根源、生起與發端。
146.3.6 識的根源
        - 識是以行為根本原因、根源、生起與發端。
146.3.7 行的根源
        - 行是以無明為根本原因、根源、生起與發端。
146.3.8 緣起流轉的總結
        - 因此，緣於無明而有行，緣於行而有識……如此，構成了整個苦蘊的集起。
146.4. 苦蘊的息滅
    - 由於無明的徹底滅除、遠離與息滅，導致行的滅除；行的滅除導致識的滅除……如此，構成了整個苦蘊的息滅。

</內容>
