<總標題> 比丘入家正行法要 </總標題>
<摘要> 闡明比丘入在家時應保持的正確心態與行為準則，避免因施受問題產生煩惱。</摘要>
<內容>
231.1. 入家正行基本準則
231.1.1 不適宜入家之心態
- 心存特定期待：期待必得布施、多得布施、得優質布施、得迅速布施、得恭敬布施
- 因期待未滿足而生怒：未得布施、得少布施、得粗劣布施、得緩慢布施、得不恭敬布施時心生惱怒
- 因惱怒感受苦憂：心隨外境轉而產生痛苦煩惱
231.1.2 適宜入家之心態
- 雖作如理思惟但無執著：思惟布施利益而不強求結果
- 遇逆緣不生煩惱：未得布施或不如意時心不生怒
- 保持內心平靜：不因外境變化而感受苦憂
231.2. 正確心態的具體表現
231.2.1 對待布施的平等心
- 得多得少心無分別
- 得勝得粗心無揀擇
- 得速得緩心無急切
- 得敬得慢心無計較
231.2.2 內心修持的要點
- 心不隨外境轉變
- 保持內心清淨安穩
- 遠離貪求與瞋恚
- 維持正念正知
231.3. 修行典範與實踐
231.3.1 典範行持
- 以正確心態入在家
- 於一切境緣中保持平靜
- 不因施受問題動搖內心
231.3.2 修行要領
- 學習典範的修行態度
- 實踐所教誨的正確行持
- 於日常生活中具體落實

</內容>
