<總標題> 不住諸境解脫要義 </總標題>
<摘要> 解說解脫者不住於五蘊、六境、世俗牽絆、欲望渴求、未來希冀及言語爭論的六種境界。 </摘要>
<內容>
275.1. 不住於家
275.1.1 何謂住家
       - 識若對色、受、想、行四界產生貪著，即為住家。
275.1.2 何謂不住家
       - 解脫者對色、受、想、行、識五界的欲望、貪愛、執取與煩惱潛在傾向已徹底斷除，使其不再生起，故稱不住家。
275.2. 不住於處
275.2.1 何謂住處
       - 心若對色、聲、香、味、觸、法六種境緣產生攀緣、執著與束縛，即為住處。
275.2.2 何謂不住處
       - 解脫者對六種境緣的攀緣與束縛已徹底斷除，使其不再生起，故稱不住處。
275.3. 不近習聚落
275.3.1 何謂近習聚落
       - 與在家人過度交往，產生相同的喜怒哀樂，並為其事務耗費心力。
275.3.2 何謂不近習聚落
       - 不與在家人過度交往，不產生相同的喜怒哀樂，不為其事務耗費心力。
275.4. 空諸欲
275.4.1 何謂未空諸欲
       - 對諸欲望未能捨離貪、欲、愛、渴、熱煩與渴愛。
275.4.2 何謂已空諸欲
       - 對諸欲望已能捨離貪、欲、愛、渴、熱煩與渴愛。
275.5. 無希望
275.5.1 何謂有希望
       - 心中思惟期盼於未來世獲得某種色、受、想、行、識。
275.5.2 何謂無希望
       - 心中不思惟期盼於未來世獲得任何色、受、想、行、識。
275.6. 不與人諍論
275.6.1 何謂與人諍論
       - 以言語評斷他人不懂法與律，自認正確而指責他人錯誤，並要求對方認輸。
275.6.2 何謂不與人諍論
       - 不以言語評斷他人，不自認正確而指責他人，不要求對方認輸。

</內容>
