<總標題> 五蘊無我解脫道次第 </總標題>
<摘要> 通過如實觀察五蘊的無常、苦、無我本質，達到厭離、解脫，證得阿羅漢果位。</摘要>
<內容>
312.1. 五蘊的本質
312.1.1 五蘊的共同特性
- 色、受、想、行、識皆是無常。
- 無常即是苦。
- 苦即是無我。
- 無我即非我所、非我、非我體。
312.1.2 正確的觀察方法
- 應以正慧，對五蘊作如實觀。
312.2. 觀智生起的次第
312.2.1 厭患
- 有聞聖弟子通過如實觀察，對色、受、想、行、識產生厭患。
312.2.2 離貪
- 因厭患而遠離貪愛。
312.2.3 解脫
- 因離貪而獲得解脫。
312.2.4 解脫智
- 解脫時生起解脫之智，了知：
    - 生已盡
    - 梵行已立
    - 所作已辦
    - 不受後有
312.3. 解脫的果位
312.3.1 阿羅漢的定義
- 此人為世間第一、最勝者，稱為阿羅漢。
312.3.2 阿羅漢的特質
- 渴愛已無跡
- 我慢已斷除
- 愚昧網已裂
- 心已遠離污濁
- 名為無染者
- 徧知五蘊
- 已生無學智
- 此為最後身
- 於上下左右絕無歡喜
- 於世間無有恐怖畏懼

</內容>
