<總標題> 五取蘊無我觀與我隨眠斷除次第 </總標題>
<摘要> 說明五取蘊中無我我所，但未斷我隨眠者仍會產生「有我」的認知，需透過觀察五取蘊生滅才能徹底斷除我執。 </摘要>
<內容>
324.1. 五取蘊無我之基本定義
324.1.1 五取蘊組成
- 色取蘊
- 受取蘊
- 想取蘊
- 行取蘊
- 識取蘊
324.1.2 無我觀修持
- 不觀五取蘊有任何「我」
- 不觀五取蘊有任何「我所」
324.2. 有我認知與漏盡區別
324.2.1 認知層次區分
- 雖認知五取蘊存在「有我」現象
- 不將此現象執著為真實的「我」
- 此狀態尚未達漏盡阿羅漢
324.3. 五取蘊與我執關係辨析
324.3.1 我執非蘊體本身
- 不說色是我
- 不說離色有我
- 不說受想行識是我
- 不說離識有我
324.4. 我隨眠斷除次第
324.4.1 修行階段特徵
- 已斷五下分結
- 未斷隨伴五取蘊之我慢
- 未斷隨伴五取蘊之我欲
- 未斷隨伴五取蘊之我隨眠
324.4.2 根本對治方法
- 於五取蘊觀生滅而住
- 觀察色之集起與滅盡
- 觀察受之集起與滅盡
- 觀察想之集起與滅盡
- 觀察行之集起與滅盡
- 觀察識之集起與滅盡
324.4.3 圓滿斷除成果
- 隨伴五取蘊之我慢永斷
- 隨伴五取蘊之我欲永斷
- 隨伴五取蘊之我隨眠永斷

</內容>
