<總標題> 五蘊繫縛與解脫之道 </總標題>
<摘要> 凡夫因執著五蘊為「我」而受縛，聖弟子因不執著而解脫。 </摘要>
<內容>
343.1. 凡夫的繫縛狀態
343.1.1 凡夫的錯誤認知
- 無聞凡夫不親近聖者，不學習正法。
- 對五蘊（色、受、想、行、識）產生四種錯誤見解：
    - 認為五蘊就是「我」。
    - 認為「我」擁有五蘊。
    - 認為「我」存在於五蘊之中。
    - 認為五蘊存在於「我」之中。
343.1.2 繫縛的後果
- 凡夫被每一種五蘊的繫縛所束縛。
- 這種束縛是內外全面的。
- 其結果是：
    - 看不見苦的起點（此岸）。
    - 看不見苦的終點（彼岸）。
    - 在束縛中出生。
    - 在束縛中死亡。
    - 在束縛中從今生流轉到來世。
343.2. 聖弟子的解脫狀態
343.2.1 聖弟子的正確認知
- 有聞聖弟子親近聖者，學習正法。
- 對五蘊（色、受、想、行、識）沒有四種錯誤見解：
    - 不認為五蘊就是「我」。
    - 不認為「我」擁有五蘊。
    - 不認為「我」存在於五蘊之中。
    - 不認為五蘊存在於「我」之中。
343.2.2 解脫的成果
- 聖弟子不被任何一種五蘊的繫縛所束縛。
- 從內外的束縛中解脫。
- 其結果是：
    - 能看清苦的起點（此岸）。
    - 能看清苦的終點（彼岸）。
    - 從一切苦中完全解脫。

</內容>
