<總標題> 觀無常入聖道次第 </總標題>
<摘要> 通達六根、六境、六識等一切法皆為無常變異，依信解、審思、知見此理之深淺，可次第超凡入聖，證得預流果。 </摘要>
<內容>
367.1. 諸法無常法則
367.1.1 無常法類別
- 感官：眼、耳、鼻、舌、身、意。
- 外境：色、聲、香、味、所觸、諸法。
- 心識：眼識、耳識、鼻識、舌識、身識、意識。
- 認知過程：眼觸、耳觸、鼻觸、舌觸、身觸、意觸。
- 感受：眼觸所生之受、耳觸所生之受、鼻觸所生之受、舌觸所生之受、身觸所生之受、意觸所生之受。
- 概念：色想、聲想、香想、味想、所觸想、法想。
- 意志：色思、聲思、香思、味思、所觸思、法思。
- 執著：色愛、聲愛、香愛、味愛、所觸愛、法愛。
- 元素：地界、水界、火界、風界、空界、識界。
- 身心聚合：色、受、想、行、識。
367.1.2 法則核心定義
- 上述所有類別之法，其共同特性為「無常」，即不斷變易、變異。
367.2. 修行證果次第
367.2.1 隨信行者與隨法行者
- 條件：對上述無常法則生起信心與信解，或進行審慎的智慧思維與觀察。
- 果位：入正性決定，入善士地，超凡夫地。
- 果報：所造業力不會導致投生地獄、畜生、餓鬼三道，並且在未親自證得預流果位之前不會命終。
367.3. 預流聖果
367.3.1 證果條件
- 條件：對上述無常法則獲得直接的知見與體證。
367.3.2 證果特徵
- 果位：名為預流。
- 特德：具備不退轉之法，決定趨向正覺。

</內容>
