<總標題> 觀照六根六境解脫之道 </總標題>
<摘要> 透過正智觀照內外諸法的無常、苦、無我本質，從而厭離執著、達成解脫。 </摘要>
<內容>
380.1. 觀照法則總綱
- 應以正智慧如實觀照一切現象的本質。
- 觀照的對象包含內在六根與外在六境。
- 觀照的核心認知為：無常、苦、無我。
380.2. 觀照的根本屬性
380.2.1 無常
- 一切現象皆為變異遷流，非恆常不變。
380.2.2 苦
- 凡屬無常之法，其本質即是苦。
380.2.3 無我
- 凡屬苦之法，其本質即是無我。
- 基於無我，應生起「此非我所，此非我，此非我之我」的正確認知。
380.3. 觀照的具體對象
380.3.1 內在六根
- 眼、耳、鼻、舌、身、意。
380.3.2 外在六境
- 色、聲、香、味、觸、法。
380.4. 觀照的時間維度
- 過去、現在、未來的一切法，均具備無常、苦、無我的性質。
- 現在之法尤其應當作為觀照的重點。
380.5. 正確觀照的實踐成果
- 對一切現象生起厭離之心。
- 因厭離而遠離貪欲。
- 因離欲而獲得解脫。
- 於解脫生起「我解脫」之智慧。
- 最終證知：生命輪迴已盡，清淨修行已完成，應作之事皆已成就，不再受後有。

</內容>
