<總標題> 觀照無常苦無我以解脫 </總標題>
<摘要> 教導應透過觀察眼耳鼻舌身意等內外現象的無常、苦、無我本質，從而捨棄對它們的貪欲，以達到解脫。 </摘要>
<內容>
409.1. 捨棄貪欲以達解脫的核心法則
409.1.1 捨棄的對象與目標
- 應捨棄對一切無常、苦、無我之法的貪欲。
- 捨棄貪欲的目標是為了離欲、解脫、無取著般涅槃。
409.1.2 捨棄的具體實踐方法
- 透過觀察與思維，了知眼、耳、鼻、舌、身、意及其相關對象、識、觸、受均是無常、苦、無我。
- 對此等現象生起厭嫌，由厭嫌而離欲，因離欲而得解脫。
409.2. 應觀察捨棄的具體現象清單
409.2.1 六根
- 眼、耳、鼻、舌、身、意。
409.2.2 六塵
- 色、聲、香、味、觸、法。
409.2.3 六識
- 眼識、耳識、鼻識、舌識、身識、意識。
409.2.4 六觸
- 眼觸、耳觸、鼻觸、舌觸、身觸、意觸。
409.2.5 六觸所生受
- 凡以眼觸、耳觸、鼻觸、舌觸、身觸、意觸為緣所生之受，或樂、或苦、或非苦非樂。
409.3. 觀察捨棄的三大特性
409.3.1 無常
- 一切現象，包括六根、六塵、六識、六觸、六觸所生受，均是無常。
409.3.2 苦
- 一切無常現象，均是苦。
409.3.3 無我
- 一切現象，均非我、非我所、非我之我。
409.4. 法則的應用與效果
409.4.1 法則的普遍適用性
- 上述核心法則（1.）普遍適用於所有應觀察捨棄的具體現象（2.）。
- 對所有這些現象，都應觀察其無常、苦、無我（3.）的本質，從而捨棄對它們的貪欲。
409.4.2 實踐的效果
- 透過如是觀察，無明消失而生明。
- 心對諸法無所取著，解脫諸漏。
- 證知生已盡、梵行已成、應作已作、不為如是再生。

</內容>
