<總標題> 解脫道之障礙與成就 </總標題>
<摘要> 修行者依感官守護、飲食節制、覺醒勤修三者決定解脫成就，並具體展現在六種障礙與六種成就的對應實踐中。 </摘要>
<內容>
478.1. 解脫道核心法則
478.1.1 法則統述
    - 修行者依感官守護、飲食節制、覺醒勤修三者，決定是否沉淪此岸或到達彼岸。
478.2. 修行實踐要素
478.2.1 感官守護
    - 眼、耳、鼻、舌、身、意六根接觸色、聲、香、味、觸、法六境時，執取或不執取形相與細節。
478.2.2 飲食節制
    - 飲食時如實或不如實觀察其作用，為或不為嬉戲、慢心、裝飾、莊嚴而食。
478.2.3 覺醒勤修
    - 於晝日、初夜分、後夜分經行與坐禪時，心中斷除或不斷除障礙法。
    - 於中夜分時，是否以右脅作獅子臥，注意或未注意覺悟、專心念起想。
478.2.4 欲念對治
    - 對欲貪、惡不善之法，隨順或不隨順其生起。
478.2.5 心念取向
    - 心向於欲、執著於欲、固著於欲，或心背離於欲、不執著於欲、不固著於欲。
478.2.6 解脫履行
    - 明知有從罪過解脫之道，履行或不履行。
478.3. 法則與實踐對應
478.3.1 法則應用
    - 修行者若於感官守護、飲食節制、覺醒勤修三方面實踐障礙（執取、不如實觀察、不斷除障礙法、隨順欲、心向欲、不履行解脫道），則沉淪此岸；若實踐成就（不執取、如實觀察、斷除障礙法、不隨順欲、心背離欲、履行解脫道），則到達彼岸。

</內容>
