<總標題> 清淨見之修證法要 </總標題>
<摘要> 透過如實觀察諸法生滅與四大、六觸處、五取蘊等現象，並以正念守護六根、運用止觀通達涅槃，最終成就清淨見解。 </摘要>
<內容>
481.1. 清淨見之根本法則
   清淨見的成就，在於如實觀察諸法的生起與滅盡。
481.2. 清淨見的具體觀察對象
481.2.1 六觸處之生滅
      - 如實觀察六觸處的生起與滅盡。
481.2.2 五取蘊之生滅
      - 如實觀察五取蘊的生起與滅盡。
481.2.3 四大有之生滅
      - 如實觀察四大有的生起與滅盡。
481.2.4 一切生起法之滅法本質
      - 如實觀察一切生起之法，皆是滅法。
481.3. 修證清淨見的譬喻與實義對照
481.3.1 身與都城
      - 身由四大所成，是無常、蝕壞、磨消、破損、潰滅之法。
481.3.2 六內處與城門
      - 六內處如同都城的六座門。
481.3.3 正念與門衛
      - 正念如同賢明有能的門衛，遮止不知者，令知者通過。
481.3.4 止觀與使者
      - 止觀如同急來傳達使命的使者。
481.3.5 四大有與中央街路
      - 地界、水界、火界、風界四大有，如同中央四衢街路。
481.3.6 識與城主
      - 識如同坐鎮中央的城主。
481.3.7 涅槃與如實使命
      - 涅槃如同使者所傳達的如實使命。
481.3.8 八支賢聖道與歸路
      - 八支賢聖道（正見乃至正定）如同使者順來路歸去之路徑。

</內容>
