<總標題> 感受的本質與修行次第 </總標題>
<摘要> 一切感受的本質皆是苦，因其根源於無常變易的現象；透過次第修行，能逐步止息諸行，達到心靈的輕安與解脫。 </摘要>
<內容>
495.1. 感受的本質：諸行無常故苦
495.1.1 三種感受的分類
- 樂受
- 苦受
- 非苦非樂受
495.1.2 一切感受皆苦的依據
- 所有感受都根源於無常變易的現象。
- 所有現象都是會破壞、消亡、離欲、滅盡、變壞的法則。
495.2. 修行次第與境界轉化
495.2.1 諸行的滅盡
- 初禪：言語滅
- 第二禪：尋伺滅
- 第三禪：喜滅
- 第四禪：入息出息滅
- 空無邊處：色想滅
- 識無邊處：空無邊處想滅
- 無所有處：識無邊處想滅
- 非想非非想處：無所有處想滅
- 想受滅：想與受滅
- 漏盡：貪欲、嗔恚、愚癡滅
495.2.2 諸行的止息
- 初禪：言語止息
- 第二禪：尋伺止息
- 想受滅：想與受止息
- 漏盡：貪欲、瞋恚、愚癡止息
495.2.3 修行成就的輕安
- 初禪：言語輕安
- 第二禪：尋伺輕安
- 第三禪：喜輕安
- 第四禪：入息出息輕安
- 想受滅：想與受輕安
- 漏盡：貪欲、瞋恚、愚癡輕安

</內容>
