<總標題> 無記問題與五蘊繫縛之辨 </總標題>
<摘要> 本文闡明對於世間常恆等問題不予回答的原因，在於解脫者已超越對五蘊的任何形式執著，因此不落入相關概念框架。 </摘要>
<內容>
557.1. 不予記說之問題範圍
557.1.1 關於世間本質的問題
- 世間是常恆的嗎？
- 世間是無常的嗎？
- 世間是有限（有邊）的嗎？
- 世間是無限（無邊）的嗎？
557.1.2 關於生命與身體關係的問題
- 生命即是身體嗎？
- 生命與身體是不同的嗎？
557.1.3 關於如來死後狀態的問題
- 如來死後是存在的嗎？
- 如來死後是不存在的嗎？
- 如來死後是既存在又不存在嗎？
- 如來死後是非存在又非不存在嗎？
557.2. 對問題持不同立場的根本原因
557.2.1 外道沙門的立場與原因
- 原因：對五蘊存在執著
- 具體執著形式：
    - 認識色（物質形態）是我
    - 認識我擁有色
    - 認識色在我之中
    - 認識我在色之中
    - 對受（感受）、想（概念）、行（意志）、識（意識）亦復如是
557.2.2 解脫者的立場與原因
- 原因：對五蘊無任何執著
- 具體不執著形式：
    - 不認識色是我
    - 不認識我擁有色
    - 不認識色在我之中
    - 不認識我在色之中
    - 對受、想、行、識亦復如是
557.3. 核心法則：執著決定見解
557.3.1 法則陳述
- 對五蘊的執著是形成世間常恆等見解的根本原因。
557.3.2 法則應用
- 此法則普遍適用於所有關於世間本質、生命與身體關係、如來死後狀態的見解形成。
- 執著於五蘊即會對上述問題產生肯定或否定的見解。
- 超越對五蘊的執著即不會對上述問題產生任何肯定或否定的見解。

</內容>
