<總標題> 八正道與其對應法門 </總標題>
<摘要> 闡述八正道為核心修行法門，說明其對治不善法、成就善法、引導解脫的作用。</摘要>
<內容>
572.1. 八正道的基本定義
572.1.1 正道與邪道
- 正道由八個正確的修行要素組成：正見、正思惟、正語、正業、正命、正精進、正念、正定。
- 邪道由八個錯誤的修行要素組成：邪見、邪思惟、邪語、邪業、邪命、邪精進、邪念、邪定。
572.1.2 善法與不善法
- 八正道即是善法的具體內容。
- 八邪道即是不善法的具體表現。
572.2. 修行者的層次區分
572.2.1 基本層次
- 實踐八邪道者為不善士。
- 實踐八正道者為善士。
572.2.2 進階層次
- 實踐八邪道且具邪智、邪解脫者，是比不善士更劣的不善士。
- 實踐八正道且具正智、正解脫者，是比善士更勝的善士。
572.3. 八正道的功能作用
572.3.1 心的依持
- 八正道能作為心的依持，使心穩定不易轉倒。
- 若無八正道作為依持，心就容易動搖轉倒。
572.3.2 聖正定的基礎
- 八正道中的前七支（正見至正念）是聖正定的所依與資糧。
- 以此七支為基礎，才能成就心的專一狀態（正定）。
572.4. 八正道的實踐應用
572.4.1 對治感受
- 為完全了知樂受、苦受、不苦不樂受這三種感受，應當修習八正道。
572.4.2 斷除欲望
- 為斷除眼、耳、鼻、舌、身所識別的五種妙欲，應當修習八正道。

</內容>
