<總標題> 八聖道修習次第與方法 </總標題>
<摘要> 說明修習八聖道的前導條件，以及兩種核心修習方法：基於遠離、離貪、滅盡而迴向於捨，以及為調伏貪欲、瞋恚、愚癡。 </摘要>
<內容>
575.1. 修習八聖道的前導條件
575.1.1 七種前導條件
   - 親近善友
   - 戒行清淨
   - 志欲具足
   - 我具足
   - 見解具足
   - 不放逸
   - 如理作意
575.2. 八聖道的組成
   - 正見
   - 正思惟
   - 正語
   - 正業
   - 正命
   - 正精進
   - 正念
   - 正定
575.3. 第一種修習方法：基於三依一向
575.3.1 修習法則
   - 依遠離
   - 依離貪
   - 依滅盡
   - 迴向於捨
575.3.2 應用於八聖道
   - 依此法則修習正見
   - 依此法則修習正思惟
   - 依此法則修習正語
   - 依此法則修習正業
   - 依此法則修習正命
   - 依此法則修習正精進
   - 依此法則修習正念
   - 依此法則修習正定
575.4. 第二種修習方法：基於三毒調伏
575.4.1 修習法則
   - 為究盡貪欲之調伏
   - 為究盡瞋恚之調伏
   - 為究盡愚癡之調伏
575.4.2 應用於八聖道
   - 依此目的修習正見
   - 依此目的修習正思惟
   - 依此目的修習正語
   - 依此目的修習正業
   - 依此目的修習正命
   - 依此目的修習正精進
   - 依此目的修習正念
   - 依此目的修習正定

</內容>
