<總標題> 八支聖道修習法則 </總標題>
<摘要> 修習八支聖道能導向涅槃，其修習方法基於遠離、離貪、滅盡與迴向於捨的原則。 </摘要>
<內容>
578.1. 八支聖道的根本導向與目標
578.1.1 根本導向
- 修習八支聖道能趣向涅槃、傾向涅槃、臨入涅槃。
- 多修八支聖道能強化此導向。
578.1.2 修習原則
- 修習應依遠離、依離貪、依滅盡。
- 修習應迴向於捨。
578.2. 八支聖道的具體修習方法
578.2.1 各支修習法則
- 依遠離、依離貪、依滅盡，迴向於捨修習正見。
- 依遠離、依離貪、依滅盡，迴向於捨修習正思惟。
- 依遠離、依離貪、依滅盡，迴向於捨修習正語。
- 依遠離、依離貪、依滅盡，迴向於捨修習正業。
- 依遠離、依離貪、依滅盡，迴向於捨修習正命。
- 依遠離、依離貪、依滅盡，迴向於捨修習正精進。
- 依遠離、依離貪、依滅盡，迴向於捨修習正念。
- 依遠離、依離貪、依滅盡，迴向於捨修習正定。
578.3. 修習的特定目標
578.3.1 三毒調伏目標
- 為究盡貪欲之調伏而修習八支聖道。
- 為究盡瞋恚之調伏而修習八支聖道。
- 為究盡愚癡之調伏而修習八支聖道。
578.3.2 不死目標
- 究竟於不死、趣向不死、究盡於不死而修習八支聖道。
578.3.3 涅槃目標
- 趣向涅槃、傾向涅槃、臨入涅槃而修習八支聖道。

</內容>
