<總標題> 七覺支修習次第與功德 </總標題>
<摘要> 修行者應以戒為基礎，依特定原則修習七種覺支，最終能成就廣大功德。 </摘要>
<內容>
586.1. 修行成就的根本法則
586.1.1 修行成就的比喻法則
- 如同雪山能滋養大象，使其身形與力量增長，最終能適應廣大海洋
- 修行者亦需依靠穩固基礎，逐步修持以成就廣大功德
586.1.2 修行成就的實踐法則
- 必須以戒律為根本基礎
- 在此基礎上修習七種覺支
- 透過持續不斷的修習，方能於諸法中獲得廣大成就
586.2. 七覺支的修習方法
586.2.1 修習的基本原則
- 依循遠離煩惱、離棄貪欲、滅除雜念的原則
- 所有修習皆迴向於捨離執著的心態
586.2.2 具體修習項目
- 念覺支的修習
- 擇法覺支的修習
- 精進覺支的修習
- 喜覺支的修習
- 輕安覺支的修習
- 定覺支的修習
- 捨覺支的修習
586.3. 完整修行次第
586.3.1 修行基礎建立
- 以戒律為立足點
- 安住於戒律規範中
586.3.2 核心修行實踐
- 系統修習七種覺支
- 持續不斷地深入修習
586.3.3 最終修行成果
- 於一切法中獲得廣大成就

</內容>
