<總標題> 解脫道次第修行體系 </總標題>
<摘要> 闡明從根律儀到明解脫的完整修行次第，核心在於透過層層修習，達到內心安定與解脫。 </摘要>
<內容>
591.1. 修行目標與核心法則
591.1.1 最終目標：明解脫
- 修行體系的終極目標是達到明解脫的圓滿境界。
591.1.2 核心修行法則：次第圓滿
- 所有修行方法構成一個緊密關聯的體系。
- 每一階段的圓滿，是下一階段得以圓滿的基礎。
591.2. 修行體系次第
591.2.1 根律儀圓滿三善業
- 修習與多習根律儀，能圓滿三善業。
591.2.2 三善業圓滿四念處
- 修習與多習三善業，能圓滿四念處。
591.2.3 四念處圓滿七覺支
- 修習與多習四念處，能圓滿七覺支。
591.2.4 七覺支圓滿明解脫
- 修習與多習七覺支，能圓滿明解脫。
591.3. 各階段修行方法詳解
591.3.1 根律儀的實踐
- 六根接觸外境時保持內心安定。
- 面對可意之境：不生貪著、歡喜與貪欲，身心安住，內在善解脫。
- 面對非可意之境：心不動搖、不困擾、不反感，身心安住，內在善解脫。
591.3.2 三善業的實踐
- 斷除身、語、意三方面的惡業。
- 修習身、語、意三方面的善業。
591.3.3 四念處的實踐
- 於身觀身而住，以熱誠、正念、正知，調伏世間貪憂。
- 於受觀受而住，以熱誠、正念、正知，調伏世間貪憂。
- 於心觀心而住，以熱誠、正念、正知，調伏世間貪憂。
- 於法觀法而住，以熱誠、正念、正知，調伏世間貪憂。
591.3.4 七覺支的實踐
- 依遠離、依離貪、依滅盡，迴向於捨，修習念覺支、擇法覺支、精進覺支、喜覺支、輕安覺支、定覺支、捨覺支。

</內容>
