<總標題> 七覺支修習法要 </總標題>
<摘要> 闡述七覺支的普遍修習價值、具體內容、實踐方法與輔助條件，說明其對解脫的根本作用。 </摘要>
<內容>
598.1. 七覺支的普遍性與根本地位
598.1.1 三世修行者之共法
- 過去、現在、未來的沙門與婆羅門，凡是斷除三類煩惱者，皆因修習與多修七覺支而成就。
598.1.2 覺者出現之標誌
- 如來出現於世間時，會顯現七覺支寶，如同轉輪王出現時會顯現七種世間寶物。
598.2. 七覺支的定義與功能
598.2.1 七覺支的組成
- 念覺支、擇法覺支、精進覺支、喜覺支、輕安覺支、定覺支、捨覺支。
598.2.2 七覺支的核心作用
- 此七覺支是摧伏魔軍的正道。
- 不修習、不多修七覺支，即稱為愚癡啞羊、貧窮。
- 修習、多修七覺支，即稱為有慧不啞、不貧。
598.3. 七覺支的實踐方法
598.3.1 修習的根本原則
- 修習任一覺支時，皆應依循三項原則：依遠離、依離貪、依滅盡，迴向於捨。
598.4. 生起七覺支的關鍵條件
598.4.1 內在關鍵條件
- 內在條件中，最關鍵的是如理作意。具足如理作意者，得以修習與多修七覺支。
598.4.2 外在關鍵條件
- 外在條件中，最關鍵的是親近善友。有善友者，得以修習與多修七覺支。善友如同日輪升起前的曙光，是七覺支生起的前兆。

</內容>
