<總標題> 四神足修習法要 </總標題>
<摘要> 說明修習四神足時應避免四種偏差，並掌握四種正確修行方法，以達成就。</摘要>
<內容>
680.1. 四神足修習之利益
- 修習四神足能獲得大果報與大功德。
- 四神足包括：欲三摩地勤行成就之神足、勤三摩地勤行成就之神足、心三摩地勤行成就之神足、觀三摩地勤行成就之神足。
680.2. 修行偏差之四種狀態
680.2.1 過分退縮
- 與懈怠共同生起及相應。
680.2.2 過分精勤
- 與掉舉共同生起及相應。
680.2.3 於內收縮
- 與惛眠共同生起及相應。
680.2.4 於外散亂
- 依外在五種妙欲而擴散。
680.3. 正確修行之四種方法
680.3.1 前後想而住
- 對前後想善持、善作意、善觀、於慧善通達。
- 後如同前，前如同後。
680.3.2 上下想而住
- 觀察身體由足蹠以上至髮頂以下，充滿各種不淨。
- 上如同下，下如同上。
- 身體組成包括：髮、毛、爪、齒、皮、肉、筋、骨、骨髓、腎、心、肝、肋、膜、脾、肺、腸、腸間膜、胃、排泄物、膽汁、痰、膿、血、汗、脂、淚、漿、唾、鼻液、髓、尿。
680.3.3 晝夜想而住
- 晝間修習與夜間修習具有相同的行相、特相、因相。
- 夜如同晝，晝如同夜。
680.3.4 廣大光明心
- 善持光明想，善攝持光明想。
- 以廣大不纏縛之心，修習光耀之心。
680.4. 修行成就之果報
680.4.1 神通變化
- 能領受多種神變：以一身成多身、以多身成一身，以身威勢達到梵世。
680.4.2 究竟解脫
- 依諸漏盡，得無漏心解脫與慧解脫。
- 於現法中自證知、現證，具足而住。

</內容>
