<總標題> 四神足修習法要 </總標題>
<摘要> 修習四神足可成就神變與解脫，其要領在於保持中道、心不散亂，並發展光耀心。 </摘要>
<內容>
681.1. 四神足修習總綱
- 四神足為欲三摩地、勤三摩地、心三摩地、觀三摩地之勤行成就。
- 修習成就可領受多端神變，並達至諸漏盡、心慧解脫。
681.2. 修習核心法則
681.2.1 中道平衡法則
- 修習時心念不過分退縮，亦不過分精勤。
- 心於內不收攝，於外不散亂。
- 保持前後、上下、晝夜想之平等無別。
681.2.2 光明心發展法則
- 以廣大不纏縛之心修習。
- 發展光耀清淨之心。
681.3. 四神足修習要領
681.3.1 欲三摩地神足
- 依中道平衡法則修習。
- 依光明心發展法則修習。
681.3.2 勤三摩地神足
- 依中道平衡法則修習。
- 依光明心發展法則修習。
681.3.3 心三摩地神足
- 依中道平衡法則修習。
- 依光明心發展法則修習。
681.3.4 觀三摩地神足
- 依中道平衡法則修習。
- 依光明心發展法則修習。
681.4. 修習成就果報
681.4.1 神變成就
- 能以身成就多種神通變化。
- 神通境界可達至梵世。
681.4.2 解脫成就
- 諸漏永盡，達無漏境界。
- 現世證得心解脫與慧解脫。
- 於現法中自證知、現證，具足而住。

</內容>
