<總標題> 四聖諦與五取蘊教義 </總標題>
<摘要> 闡述四聖諦的定義與內容，包括苦的本質、苦的起因、苦的止息以及通往止息的道路。 </摘要>
<內容>
763.1. 四聖諦總說
- 苦聖諦
- 苦集聖諦
- 苦滅聖諦
- 順苦滅道聖諦
763.2. 苦聖諦的內容
- 苦的本質即是五取蘊。
- 五取蘊包含：
    - 色取蘊
    - 受取蘊
    - 想取蘊
    - 行取蘊
    - 識取蘊
763.3. 苦集聖諦的內容
- 苦的起因是渴愛。
- 渴愛伴隨著對未來的生命存在的渴望與喜貪，並在各種情境中感到歡喜。
- 渴愛分為三類：
    - 欲愛
    - 有愛
    - 無有愛
763.4. 苦滅聖諦的內容
- 苦的止息在於將此渴愛徹底地遠離、滅除、捨棄、斷絕與解脫，達到無所執著的狀態。
763.5. 順苦滅道聖諦的內容
- 通往苦滅的道路是八支聖道。
- 八支聖道包含：
    - 正見
    - 正思惟
    - 正語
    - 正業
    - 正命
    - 正精進
    - 正念
    - 正定
763.6. 實踐的勉勵
- 對於苦，應勉勵去認知。
- 對於苦的起因，應勉勵去斷除。
- 對於苦的止息，應勉勵去證得。
- 對於通往止息的道路，應勉勵去修習。

</內容>
