1.1. 不住寂靜法則
1.1.1 不住不求以度瀑流
- 不執著停留與尋求，方能超越生死瀑流。
1.1.2 滅盡以達解脫
- 喜悅、思想、意識與感受的滅盡，是解脫的基礎、過程與狀態。
1.2. 心念安住法則
1.2.1 觀死怖生道心
- 觀察死亡恐怖，應捨棄欲望追求、希求心靈寂靜。
1.2.2 安住當下
- 不悲傷過去、不憧憬未來，安住當下使身心朗悅。
1.3. 五法實踐法則
1.3.1 斷棄與超越
- 斷除五種煩惱、捨棄五種執著、向上修習五種無漏法、超越五種束縛，完成者稱為已渡瀑流。
1.3.2 覺醒與清淨
- 他人於五種煩惱與善法中沉睡時，修行者應保持覺醒；心靈染著與清淨各依五種原因與方法。
1.4. 知見精進法則
1.4.1 正確了知
- 正確了知教法故不誤入歧途、不迷惑故能證知真理，以此知見於世間心平行走。
1.4.2 調伏心性
- 去除驕慢、使心寂靜、以智慧解束縛、獨居不放逸，精進度死亡彼岸。

2.1. 世間欲樂的虛妄本質
2.1.1 欲樂的無常特性
- 諸行皆是無常，具有生滅的本質
- 執著世間欲樂者實為愚癡
2.1.2 依賴執著的過患
- 世人因子女、財富等而生喜樂與悲憂
- 有依賴即有苦惱，無依賴則無苦惱
2.2. 正確的價值認知
2.2.1 真正的珍貴事物
- 最可愛的是自身修養
- 最富足的是智慧穀糧
- 最光明的是智慧
- 最滋潤的是法雨
2.2.2 真正的尊貴標準
- 兩足中最尊貴的是覺悟者
- 四足中最優秀的是良駿
- 妻子中最賢慧的是柔順者
- 子女中最殊勝的是孝順者
2.3. 修行實踐的要領
2.3.1 克服修行障礙
- 睡眠、懶惰與過食會障礙聖道
- 應當精進修行以清除這些障礙
2.3.2 防護心念的方法
- 應當如龜藏護肢體般防護心念
- 攝持意念，不執著也不傷害他人
- 遠離煩惱，則無人能貶責
2.3.3 慚愧的淨化力量
- 有慚愧心能制止惡行
- 常行正念雖少但能達苦邊際
- 以平等心面對世間不平等
2.4. 解脫的真實境界
2.4.1 真正的離繫狀態
