Processing: sutra/N0006c-dds-20251111-1.2.1-split/N0006_006-01d.txt with: sutra/N0006c-dds-20251111-1.2.1-split/N0006_006-01d.txt count: 1
Processing: sutra/N0006c-dds-20251111-1.2.1-split/N0006_021-01b.txt with: sutra/N0006c-dds-20251111-1.2.1-split/N0006_021-01b.txt count: 2
Processing: sutra/N0006c-dds-20251111-1.2.1-split/N0006_022-10b.txt with: sutra/N0006c-dds-20251111-1.2.1-split/N0006_022-10b.txt count: 3
Processing: sutra/N0006c-dds-20251111-1.2.1-split/N0006_022-10d.txt with: sutra/N0006c-dds-20251111-1.2.1-split/N0006_022-10d.txt count: 4
Processing: sutra/N0006c-dds-20251111-1.2.1-split/N0006_035-04.txt with: sutra/N0006c-dds-20251111-1.2.1-split/N0006_035-04.txt count: 5
Processing: sutra/N0006c-dds-20251111-1.2.1-split/N0006_035-09a.txt with: sutra/N0006c-dds-20251111-1.2.1-split/N0006_035-09a.txt count: 6
<內容>
74.1. 現象的無常法則
- 一切現象的本質是無常、會變易，具有生、住、異、滅的過程。
74.3. 無明的根源與表現
- 將無常現象執著為恆常即是無明，會產生錯誤見解。

262.1. 世間變易之本質
- 世間一切存在皆處於不斷變易與變化的狀態，無一物能免於此法則
262.3. 解脫認知之建立
262.3.1 正確認知變易本質
- 如實觀察世間萬物的變易特性，理解變易是普遍存在的自然法則

329.2.3 具體應用於五蘊
       - 色、受、想、行、識，世間智者不認為是常、恒、永住、不變易之法，如來也說不是。
       - 色、受、想、行、識，世間智者認為是無常、苦、變易之法，如來也說是。
329.3. 如來對世間法的現觀與教示
329.3.1 如來現觀世間法並予以教示
329.3.2 具體教示的五種世間法
       - 色是世間法
       - 受是世間法
       - 想是世間法
       - 行是世間法
       - 識是世間法

331.1. 諸行無常之法則
331.1.1 五蘊皆無恆常性
- 沒有任何色、受、想、行、識是常恆不變的。
331.1.2 無常本質的普遍性
- 世間不存在任何具恆常不變本質的自性。
- 若存在恆常不變的法則，則修行便無法終結苦痛。
- 正因萬物皆無恆常本質，修行才能達到解脫。
331.3. 解脫實踐要點
331.3.1 對諸行的正確認知
- 一切行為現象終將過去滅盡，所有存在本質皆屬無常、非恆久、不安穩

398.1. 無常法則之總綱
398.1.1 一切現象皆具變異性
- 一切存在皆是必然變異之法。
- 此變異性普遍存在於所有構成經驗的要素中。
398.2. 無常法則之具體展現
398.2.1 感官與意識層面之變異
- 眼根、耳根、鼻根、舌根、身根及其所對應之色境、聲境、香境、味境、觸境是變異之法。
- 意根及其所對應之法境是變異之法。
- 依感官與意識接觸所生之識是變異之法。
- 依接觸所生之感受，無論是樂受、苦受或不苦不樂受，皆是變異之法。
398.3. 無常法則之變異相
398.3.1 生命過程與存在形式之變異
- 生、老、病、死是變異之法。
- 破壞、消亡、生起、滅盡是變異之法。
398.3.2 心理狀態之變異
- 憂、污穢是變異之法。

410.1. 世間之定義
410.1.1 凡敗壞之法，即稱為世間。
410.2. 敗壞之法涵蓋範圍
410.2.1 六根為敗壞之法
       - 眼
       - 耳
       - 鼻
       - 舌
       - 身
       - 意
410.2.2 六境為敗壞之法
       - 色
       - 聲
       - 香
       - 味
       - 觸
       - 法
410.2.3 六識為敗壞之法
       - 眼識
       - 耳識
       - 鼻識
       - 舌識
       - 身識
       - 意識
410.2.4 六觸為敗壞之法
       - 眼觸
       - 耳觸
       - 鼻觸
       - 舌觸
       - 身觸
       - 意觸
410.2.5 六觸所生諸受為敗壞之法
       - 樂受
       - 苦受
       - 非苦非樂受
</內容>
